Date,gross_return,strategy_return,turnover,transaction_cost,strategy_equity,gross_strategy_equity,strategy_drawdown,price,short_sma,long_sma,signal,position,fallback_position,buy_hold_return,buy_hold_equity,buy_hold_drawdown
2021-01-04,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,125.7408676147461,,,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-05,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,127.29548645019531,,,0.0,0.0,0.0,0.012363671930532227,10123.636719305323,0.0
2021-01-06,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,123.0105209350586,,,0.0,0.0,0.0,-0.03366156675801091,9782.859246044574,-0.03366156675801113
2021-01-07,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,127.20804595947266,,,0.0,0.0,0.0,0.034123300938056156,10116.682696132,-0.0006869095924848523
2021-01-08,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,128.30596923828125,126.31217803955079,,0.0,0.0,0.0,0.008630926373622394,10203.999039627615,0.0
2021-01-11,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,125.32305145263672,126.2286148071289,,0.0,0.0,0.0,-0.02324847240820771,9966.771649501456,-0.0232484724082076
2021-01-12,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,125.14813995361328,125.7991455078125,,0.0,0.0,0.0,-0.0013956849677374539,9952.861176133376,-0.024611709832481954
2021-01-13,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,127.17891693115234,126.63282470703125,,0.0,0.0,0.0,0.01622698490198715,10114.366104170065,-0.008784098774358706
2021-01-14,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,125.25502014160156,126.24221954345703,,0.0,0.0,0.0,-0.015127482101394807,9961.36121196228,-0.023778699578767326
2021-01-15,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,123.53522491455078,125.28807067871094,,0.0,0.0,0.0,-0.013730349690627475,9824.588239127384,-0.03718255940898996
2021-01-19,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,124.20565032958984,125.06459045410156,,0.0,0.0,0.0,0.005426997971653691,9877.906259573461,-0.031957351111829846
2021-01-20,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,128.28656005859375,125.69227447509766,,0.0,0.0,0.0,0.03285607150862213,10202.455453993472,-0.0001512726165642242
2021-01-21,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,132.98928833007812,126.8543487548828,,0.0,0.0,0.0,0.036657996514494195,10576.457030465248,0.0
