Date,price,short_sma,long_sma,signal,position,asset_return,strategy_return,buy_hold_return,trade,transaction_cost,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown
2015-02-11,27.742572784423828,25.498044300079346,,0.0,0.0,0.023438735202895966,0.0,0.023438735202895966,0.0,0.0,10000.0,11467.376774622746,0.0,0.0
2015-02-12,28.09357261657715,25.6878924369812,,0.0,0.0,0.01265202888285799,0.0,0.01265202888285799,0.0,0.0,10000.0,11612.462356785889,0.0,0.0
2015-02-13,28.231311798095703,25.917598724365234,,0.0,0.0,0.0049028716781032156,0.0,0.0049028716781032156,0.0,0.0,10000.0,11669.396769588015,0.0,0.0
2015-02-17,28.397930145263672,26.164818859100343,,0.0,0.0,0.0059018988688726015,0.0,0.0059018988688726015,0.0,0.0,10000.0,11738.268369182872,0.0,0.0
2015-02-18,28.59564781188965,26.391720008850097,,0.0,0.0,0.0069623971048098365,0.0,0.0069623971048098365,0.0,0.0,10000.0,11819.994854891951,0.0,0.0
2015-02-19,28.535655975341797,26.606438446044923,,0.0,0.0,-0.002097935914671223,-0.0,-0.002097935914671223,0.0,0.0,10000.0,11795.197263174643,0.0,-0.002097935914671334
2015-02-20,28.768930435180664,26.801288414001466,,0.0,0.0,0.00817484132975399,0.0,0.00817484132975399,0.0,0.0,10000.0,11891.621129254245,0.0,0.0
2015-02-23,29.546464920043945,27.02859773635864,,0.0,0.0,0.027026881886177412,0.0,0.027026881886177412,0.0,0.0,10000.0,12213.01456894977,0.0,0.0
2015-02-24,29.3620662689209,27.245359420776367,,0.0,0.0,-0.006240971690591457,-0.0,-0.006240971690591457,0.0,0.0,10000.0,12136.793490768172,0.0,-0.006240971690591568
2015-02-25,28.611190795898438,27.468391036987306,,0.0,0.0,-0.02557297794185709,-0.0,-0.02557297794185709,0.0,0.0,10000.0,11826.419538543882,0.0,-0.03165434940106948
2015-02-26,28.973308563232422,27.6412633895874,,0.0,0.0,0.01265650807466212,0.0,0.01265650807466212,0.0,0.0,10000.0,11976.100712927804,0.0,-0.019398474855200187
2015-02-27,28.537893295288086,27.752645015716553,,0.0,0.0,-0.015028151410256374,-0.0,-0.015028151410256374,0.0,0.0,10000.0,11796.122058109446,0.0,-0.03413510304820455
2015-03-02,28.67784309387207,27.89027605056763,,0.0,0.0,0.004903998943996735,0.0,0.004903998943996735,0.0,0.0,10000.0,11853.970228225671,0.0,-0.029398502613509403
2015-03-03,28.737823486328125,28.014641952514648,,0.0,0.0,0.002091523838097631,0.0,0.002091523838097631,0.0,0.0,10000.0,11878.763089534106,0.0,-0.027368466444432138
2015-03-04,28.55565071105957,28.129677486419677,,0.0,0.0,-0.006339129174317004,-0.0,-0.006339129174317004,0.0,0.0,10000.0,11803.462075878439,0.0,-0.03353410337465512
2015-03-05,28.082473754882812,28.210986042022704,,0.0,0.0,-0.01657034402628743,-0.0,-0.01657034402628743,0.0,0.0,10000.0,11607.874648579897,0.0,-0.04954877577141137
2015-03-06,28.124677658081055,28.284962844848632,,0.0,0.0,0.0015028556090399547,0.0,0.0015028556090399547,0.0,0.0,10000.0,11625.319608104548,0.0,-0.04812038481796055
2015-03-09,28.244640350341797,28.376156711578368,,0.0,0.0,0.004265389055090996,0.0,0.004265389055090996,0.0,0.0,10000.0,11674.906119122892,0.0,-0.04406024792559882
2015-03-10,27.660377502441406,28.429362297058105,,0.0,0.0,-0.020685795274901442,-0.0,-0.020685795274901442,0.0,0.0,10000.0,11433.401401289022,0.0,-0.06383462193214995
2015-03-11,27.156091690063477,28.43180618286133,,0.0,0.0,-0.018231342371716308,-0.0,-0.018231342371716308,0.0,0.0,10000.0,11224.955145868862,0.0,-0.08090217345625206
2015-03-12,27.64704704284668,28.42702989578247,,0.0,0.0,0.018079013666125077,0.0,0.018079013666125077,0.0,0.0,10000.0,11427.891263352667,0.0,-0.06428579128966172
2015-03-13,27.45599937438965,28.395151233673097,,0.0,0.0,-0.00691023776105093,-0.0,-0.00691023776105093,0.0,0.0,10000.0,11348.921817615465,0.0,-0.07075179894824368
2015-03-16,27.75813102722168,28.371492195129395,,0.0,0.0,0.011004212547945036,0.0,0.011004212547945036,0.0,0.0,10000.0,11473.807765486517,0.0,-0.06052615423407448
2015-03-17,28.22242546081543,28.362716960906983,,0.0,0.0,0.016726429929249553,0.0,0.016726429929249553,0.0,0.0,10000.0,11665.723607097607,0.0,-0.04481211078250813
2015-03-18,28.54010581970215,28.359939861297608,,0.0,0.0,0.011256309608392634,0.0,0.011256309608392634,0.0,0.0,10000.0,11797.036603825032,0.0,-0.034060220167289046
2015-03-19,28.324623107910156,28.349388217926027,,0.0,0.0,-0.007550172138578337,-0.0,-0.007550172138578337,0.0,0.0,10000.0,11707.966946741044,0.0,-0.04135323178052641
2015-03-20,27.96917724609375,28.30940055847168,,0.0,0.0,-0.012549005875991393,-0.0,-0.012549005875991393,0.0,0.0,10000.0,11561.043600730478,0.0,-0.05338329570791267
2015-03-23,28.260190963745117,28.245086860656738,,0.0,0.0,0.010404800795204228,0.0,0.010404800795204228,0.0,0.0,10000.0,11681.333956380751,0.0,-0.04353393747034062
2015-03-24,28.144670486450195,28.184217071533205,,0.0,0.0,-0.004087745813293409,-0.0,-0.004087745813293409,0.0,0.0,10000.0,11633.583632406871,0.0,-0.04744372761300364
