Date,gross_return,strategy_return,turnover,transaction_cost,strategy_equity,gross_strategy_equity,strategy_drawdown,price,short_sma,long_sma,signal,position,fallback_position,buy_hold_return,buy_hold_equity,buy_hold_drawdown
2015-01-02,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,24.192602157592773,,,0.0,0.0,0.0,0.0,10000.0,0.0
2015-01-05,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,23.51105308532715,,,0.0,0.0,0.0,-0.02817179680903914,9718.282031909608,-0.02817179680903914
2015-01-06,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,23.513273239135742,,,0.0,0.0,0.0,9.443021546240438e-05,9719.199731375806,-0.028080026862419394
2015-01-07,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,23.842981338500977,,,0.0,0.0,0.0,0.01402221188058439,9855.484409318877,-0.014451559068112352
2015-01-08,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,24.75908088684082,,,0.0,0.0,0.0,0.03842218954642851,10234.153699365597,0.0
2015-01-09,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,24.785629272460938,,,0.0,0.0,0.0,0.0010722686250532742,10245.1274612814,0.0
2015-01-12,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,24.17490005493164,,,0.0,0.0,0.0,-0.024640456403819178,9992.682844720126,-0.024640456403819067
2015-01-13,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,24.389545440673828,,,0.0,0.0,0.0,0.008878853077136206,10081.406407544815,-0.01598038231884591
2015-01-14,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,24.29660987854004,,,0.0,0.0,0.0,-0.003810467167575937,10042.991539425877,-0.019729956764270473
2015-01-15,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,23.637191772460938,,,0.0,0.0,0.0,-0.027140333955048224,9770.421395138133,-0.04633481310381793
2015-01-16,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,23.45353126525879,,,0.0,0.0,0.0,-0.007769979994667775,9694.505416358437,-0.05374477252761223
2015-01-20,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,24.057621002197266,,,0.0,0.0,0.0,0.025756877721577975,9944.205606938756,-0.029372192340202052
2015-01-21,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,24.241287231445312,,,0.0,0.0,0.0,0.007634430238603995,10020.123950923266,-0.021962002054974117
2015-01-22,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,24.871932983398438,,,0.0,0.0,0.0,0.026015357432630948,10280.801057025801,0.0
2015-01-23,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,25.000274658203125,,,0.0,0.0,0.0,0.005160100539445489,10333.85102410609,0.0
2015-01-26,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,25.026830673217773,,,0.0,0.0,0.0,0.001062228930590381,10344.827939628307,0.0
2015-01-27,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,24.150558471679688,,,0.0,0.0,0.0,-0.03501331083347359,9982.6212634593,-0.03501331083347359
2015-01-28,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,25.51586151123047,,,0.0,0.0,0.0,0.056532980019978085,10546.968591893454,0.0
2015-01-29,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,26.310260772705078,,,0.0,0.0,0.0,0.031133546524579003,10875.333129242441,0.0
2015-01-30,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,25.925230026245117,24.482812786102294,,0.0,0.0,0.0,-0.014634242882890836,10716.180862796758,-0.014634242882890725
2015-02-02,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,26.250513076782227,24.585708332061767,,0.0,0.0,0.0,0.012546968733076369,10850.636449020261,-0.002270889537698273
2015-02-03,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,26.25493812561035,24.72290258407593,,0.0,0.0,0.0,0.0001685699938580587,10852.465540739828,-0.0021027023476757334
2015-02-04,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,26.456310272216797,24.87005443572998,,0.0,0.0,0.0,0.007669877020582971,10935.702616807417,0.0
2015-02-05,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,26.645137786865234,25.010162258148192,,0.0,0.0,0.0,0.007137333691113135,11013.75437553035,0.0
2015-02-06,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,26.420761108398438,25.093246269226075,,0.0,0.0,0.0,-0.008420923932223157,10921.008387725822,-0.008420923932222935
2015-02-09,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,26.59625816345215,25.183777713775633,,0.0,0.0,0.0,0.006642392107240491,10993.550007643558,-0.0018344669036456374
2015-02-10,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,27.107210159301758,25.33039321899414,,0.0,0.0,0.0,0.01921142413002097,11204.751759534995,0.0
2015-02-11,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,27.74256706237793,25.498044300079346,,0.0,0.0,0.0,0.023438668138194618,11467.376217597586,0.0
2015-02-12,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,28.093576431274414,25.687892627716064,,0.0,0.0,0.0,0.012652375250900683,11612.465764645885,0.0
2015-02-13,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,28.231311798095703,25.9175986289978,,0.0,0.0,0.0,0.004902735226973709,11669.398609622242,0.0
2015-02-17,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,28.397932052612305,26.164818668365477,,0.0,0.0,0.0,0.0059019664303321395,11738.271008478396,0.0
2015-02-18,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,28.595645904541016,26.391719913482667,,0.0,0.0,0.0,0.006962262307072642,11819.995930270929,0.0
2015-02-19,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,28.535663604736328,26.606438732147218,,0.0,0.0,0.0,-0.0020976025512737806,11795.202276651546,-0.0020976025512738916
2015-02-20,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,28.768924713134766,26.801288318634032,,0.0,0.0,0.0,0.00817437125799736,11891.620639124072,0.0
2015-02-23,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,29.546463012695312,27.02859773635864,,0.0,0.0,0.0,0.02702701985957634,12213.015706300226,0.0
2015-02-24,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,29.362077713012695,27.245360088348388,,0.0,0.0,0.0,-0.0062405202139894644,12136.800134911287,-0.0062405202139895755
2015-02-25,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,28.611186981201172,27.468391513824464,,0.0,0.0,0.0,-0.025573487651343707,11826.419826534308,-0.03165441599870278
2015-02-26,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,28.973310470581055,27.641263961791992,,0.0,0.0,0.0,0.01265670975544686,11976.103389724814,-0.01939834699902976
2015-02-27,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,28.537887573242188,27.75264530181885,,0.0,0.0,0.0,-0.015028413745850289,11796.121552920951,-0.034135234360192945
2015-03-02,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,28.677846908569336,27.890276145935058,,0.0,0.0,0.0,0.004904334105597208,11853.973674166711,-0.02939831084867095
2015-03-03,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,28.73782730102539,28.014641857147218,,0.0,0.0,0.0,0.002091523559885289,11878.76653938449,-0.027368274548546512
2015-03-04,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,28.555652618408203,28.12967758178711,,0.0,0.0,0.0,-0.006339194703514961,11803.464725453734,-0.03353397643099898
