Date,price,short_sma,long_sma,signal,position,asset_return,strategy_return,buy_hold_return,trade,transaction_cost,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown,model_forecast,entry_price,exit_price,long_forecast_price,cash_forecast_price
2015-02-12,28.09357261657715,25.6878924369812,,0.0,0.0,0.0126520288828579,0.0,0.0126520288828579,0.0,0.0,10000.0,11612.462356785887,0.0,0.0,CASH,,,,28.09357261657715
2015-02-13,28.231311798095703,25.917598724365234,,0.0,0.0,0.0049028716781032,0.0,0.0049028716781032,0.0,0.0,10000.0,11669.396769588016,0.0,0.0,CASH,,,,28.231311798095703
2015-02-17,28.397930145263672,26.164818859100343,,0.0,0.0,0.0059018988688726,0.0,0.0059018988688726,0.0,0.0,10000.0,11738.268369182872,0.0,0.0,CASH,,,,28.397930145263672
2015-02-18,28.59564781188965,26.391720008850097,,0.0,0.0,0.0069623971048098,0.0,0.0069623971048098,0.0,0.0,10000.0,11819.994854891953,0.0,0.0,CASH,,,,28.59564781188965
2015-02-19,28.5356559753418,26.606438446044923,,0.0,0.0,-0.0020979359146712,-0.0,-0.0020979359146712,0.0,0.0,10000.0,11795.197263174645,0.0,-0.0020979359146713,CASH,,,,28.5356559753418
2015-02-20,28.768930435180664,26.801288414001466,,0.0,0.0,0.0081748413297539,0.0,0.0081748413297539,0.0,0.0,10000.0,11891.621129254245,0.0,0.0,CASH,,,,28.768930435180664
2015-02-23,29.546464920043945,27.02859773635864,,0.0,0.0,0.0270268818861774,0.0,0.0270268818861774,0.0,0.0,10000.0,12213.01456894977,0.0,0.0,CASH,,,,29.546464920043945
2015-02-24,29.3620662689209,27.245359420776367,,0.0,0.0,-0.0062409716905914,-0.0,-0.0062409716905914,0.0,0.0,10000.0,12136.793490768172,0.0,-0.0062409716905915,CASH,,,,29.3620662689209
2015-02-25,28.61119079589844,27.468391036987303,,0.0,0.0,-0.025572977941857,-0.0,-0.025572977941857,0.0,0.0,10000.0,11826.419538543882,0.0,-0.0316543494010694,CASH,,,,28.61119079589844
2015-02-26,28.973308563232425,27.6412633895874,,0.0,0.0,0.0126565080746621,0.0,0.0126565080746621,0.0,0.0,10000.0,11976.100712927804,0.0,-0.0193984748552001,CASH,,,,28.973308563232425
2015-02-27,28.53789329528809,27.752645015716556,,0.0,0.0,-0.0150281514102563,-0.0,-0.0150281514102563,0.0,0.0,10000.0,11796.122058109446,0.0,-0.0341351030482045,CASH,,,,28.53789329528809
2015-03-02,28.67784309387207,27.89027605056763,,0.0,0.0,0.0049039989439967,0.0,0.0049039989439967,0.0,0.0,10000.0,11853.970228225671,0.0,-0.0293985026135094,CASH,,,,28.67784309387207
2015-03-03,28.737823486328125,28.014641952514648,,0.0,0.0,0.0020915238380976,0.0,0.0020915238380976,0.0,0.0,10000.0,11878.763089534106,0.0,-0.0273684664444321,CASH,,,,28.737823486328125
2015-03-04,28.55565071105957,28.12967748641968,,0.0,0.0,-0.006339129174317,-0.0,-0.006339129174317,0.0,0.0,10000.0,11803.46207587844,0.0,-0.0335341033746551,CASH,,,,28.55565071105957
2015-03-05,28.08247375488281,28.210986042022704,,0.0,0.0,-0.0165703440262874,-0.0,-0.0165703440262874,0.0,0.0,10000.0,11607.874648579897,0.0,-0.0495487757714113,CASH,,,,28.08247375488281
2015-03-06,28.12467765808105,28.284962844848632,,0.0,0.0,0.0015028556090399,0.0,0.0015028556090399,0.0,0.0,10000.0,11625.319608104548,0.0,-0.0481203848179605,CASH,,,,28.12467765808105
2015-03-09,28.2446403503418,28.376156711578368,,0.0,0.0,0.0042653890550909,0.0,0.0042653890550909,0.0,0.0,10000.0,11674.906119122892,0.0,-0.0440602479255988,CASH,,,,28.2446403503418
2015-03-10,27.660377502441406,28.429362297058105,,0.0,0.0,-0.0206857952749014,-0.0,-0.0206857952749014,0.0,0.0,10000.0,11433.401401289022,0.0,-0.0638346219321499,CASH,,,,27.660377502441406
2015-03-11,27.15609169006348,28.43180618286133,,0.0,0.0,-0.0182313423717163,-0.0,-0.0182313423717163,0.0,0.0,10000.0,11224.955145868862,0.0,-0.080902173456252,CASH,,,,27.15609169006348
2015-03-12,27.64704704284668,28.42702989578247,,0.0,0.0,0.018079013666125,0.0,0.018079013666125,0.0,0.0,10000.0,11427.891263352669,0.0,-0.0642857912896617,CASH,,,,27.64704704284668
2015-03-13,27.45599937438965,28.395151233673097,,0.0,0.0,-0.0069102377610509,-0.0,-0.0069102377610509,0.0,0.0,10000.0,11348.921817615465,0.0,-0.0707517989482436,CASH,,,,27.45599937438965
2015-03-16,27.75813102722168,28.371492195129395,,0.0,0.0,0.011004212547945,0.0,0.011004212547945,0.0,0.0,10000.0,11473.807765486516,0.0,-0.0605261542340744,CASH,,,,27.75813102722168
