name,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,trades,win_rate,exposure,turnover,average_trade_return,average_win,average_loss,profit_factor,cost_drag,excess_cagr_vs_benchmark,drawdown_improvement_vs_benchmark,ticker,label,variant,short_window,long_window,spread_threshold,momentum_window,partial_exposure,entry_threshold,exit_threshold,min_hold_days,cooldown_days,cost_bps,benchmark_total_return,benchmark_cagr,benchmark_sharpe,benchmark_max_drawdown,upside_capture,downside_capture,missed_return_while_in_cash,average_holding_days,median_holding_days,trade_frequency_per_year,fallback_exposure,model,selection_status
AAPL_long_cash_sma_20_100_10bps,0.4504048782103274,0.07186473910012658,0.17895418030761612,0.4778462960728175,0.5468774877032873,0.20164005480416886,-0.35640110874757014,19,0.4444444444444444,0.5801186943620178,3.551928783382789,0.040452910132999835,0.20203821011272916,-0.08881532985078362,1.8198498880962863,0.027843709781180337,-0.10450781440160628,-0.022795909216119403,AAPL,baseline_sma_20_100,long_cash,20,100,0.0,,False,0.0,0.0,0,0,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5015287137525903,0.5118722908244211,0.5973569224625124,78.2,53.5,3.5461165048543686,0.0,baseline_sma_20_100,comparison
AAPL_long_cash_sma_5_50_10bps,0.4650203063423175,0.07387239402303147,0.16697649163613384,0.5109114277890678,0.5934200871438247,0.3200619355598736,-0.2308065590299233,45,0.3181818181818182,0.5497032640949555,8.41246290801187,0.016206052369916794,0.13263780018637417,-0.03812876327776331,1.6233844154885901,0.0674803419789527,-0.10250015947870139,0.10279864050152743,AAPL,v2_sma_5_50,long_cash,5,50,0.0,,False,0.0,0.0,0,0,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.4653351783111106,0.4708605485216331,0.5724395722877498,32.21739130434783,22.0,8.398696985181399,0.0,v2_sma_5_50,comparison
AAPL_fallback_spy_sma_5_50_10bps,1.415796992635495,0.1789449402952179,0.2158164389997428,0.8719170308622856,1.2926057925088126,0.6625699324220455,-0.270077061361778,46,,0.9992581602373887,17.01186943620178,,,,,0.22977771649865053,0.0025723867934850375,0.06352813816967273,AAPL,v2_fallback_spy,fallback_spy,5,50,0.0,,False,0.0,0.0,0,0,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.7316662718313677,0.7026077503207561,0.5724395722877498,32.21739130434783,22.0,8.585334695963208,0.4495548961424332,v2_fallback_spy,comparison
AAPL_fallback_qqq_sma_5_50_10bps,1.6310792691505185,0.19787868018949228,0.24334566902559535,0.8648112490847274,1.289185548474966,0.5974095305500061,-0.3312278597352053,46,,0.9992581602373887,17.01186943620178,,,,,0.2500310757051838,0.02150612668775942,0.002377339796245437,AAPL,v2_fallback_qqq,fallback_qqq,5,50,0.0,,False,0.0,0.0,0,0,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.8306112946453732,0.7996247496916077,0.5724395722877498,32.21739130434783,22.0,8.585334695963208,0.4495548961424332,v2_fallback_qqq,comparison
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_5_10bps,0.7581774119218949,0.1110610951068054,0.1843455647133324,0.6644195303918475,0.7747049587885251,0.4701235094874926,-0.23623812224978746,9,0.75,0.6172106824925816,1.682492581602374,0.0807326206058023,0.12854232174510316,-0.06269648281210027,6.15069534906804,0.01583083501546656,-0.06531145839492747,0.09736707728166327,AAPL,selected_v3,long_cash_hysteresis,5,200,0.0,,False,0.01,-0.01,10,5,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5446467854281669,0.5356746003589834,0.40959568688410086,166.4,191.0,1.67973939703628,0.0,selected_v3,selected_v3
