model,variant,cagr,sharpe,turnover,upside_capture,downside_capture,missed_return_while_in_cash,fallback_exposure,selection_status
v2_sma_5_50,long_cash,0.07387239402303147,0.5109114277890678,8.41246290801187,0.4653351783111106,0.4708605485216331,0.5724395722877498,0.0,comparison
low_turnover_sma_10_200,long_cash,0.1066026695604887,0.643622724050168,1.682492581602374,0.5392878560809629,0.532383271947029,0.4315628096404781,0.0,comparison
selected_v3,long_cash_hysteresis,0.1110610951068054,0.6644195303918475,1.682492581602374,0.5446467854281669,0.5356746003589834,0.40959568688410086,0.0,selected_v3
