name,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,trades,win_rate,exposure,turnover,average_trade_return,average_win,average_loss,profit_factor,cost_drag,excess_cagr_vs_benchmark,drawdown_improvement_vs_benchmark,ticker,label,variant,short_window,long_window,spread_threshold,momentum_window,partial_exposure,entry_threshold,exit_threshold,min_hold_days,cooldown_days,cost_bps,benchmark_total_return,benchmark_cagr,benchmark_sharpe,benchmark_max_drawdown,upside_capture,downside_capture,missed_return_while_in_cash,average_holding_days,median_holding_days,trade_frequency_per_year,fallback_exposure,neighbor_sharpe,stable_neighbor_count,hot_pixel_risk,selection_score
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_10_10bps,7.350864780598505,0.2053243487142331,0.22341517839237682,0.9494873889763024,1.0776805783485564,0.6842106717476447,-0.3000893689509161,15,0.7142857142857143,0.7075900664568031,1.322140608604407,0.37549068353060466,0.5443701884050588,-0.046708078655531005,29.136832646219137,0.12587312497115732,-0.042754090642066034,0.08506976128497579,AAPL,full_hysteresis,long_cash_hysteresis,5,200,0.0,,False,0.01,-0.01,10,10,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6687159463986264,0.6437854685340871,0.5647783159784712,252.875,202.5,1.3198626836906768,0.0,0.6777173993356791,1188,0.27176998964062327,1.0765184965786911
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_0_cool_10_10bps,7.350864780598505,0.2053243487142331,0.22341517839237682,0.9494873889763024,1.0776805783485564,0.6842106717476447,-0.3000893689509161,15,0.7142857142857143,0.7075900664568031,1.322140608604407,0.37549068353060466,0.5443701884050588,-0.046708078655531005,29.136832646219137,0.12587312497115732,-0.042754090642066034,0.08506976128497579,AAPL,full_hysteresis,long_cash_hysteresis,5,200,0.0,,False,0.01,-0.01,0,10,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6687159463986264,0.6437854685340871,0.5647783159784712,252.875,202.5,1.3198626836906768,0.0,0.6777173993356791,1188,0.27176998964062327,1.0765184965786911
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_10_10bps,7.350864780598505,0.2053243487142331,0.22341517839237682,0.9494873889763024,1.0776805783485564,0.6842106717476447,-0.3000893689509161,15,0.7142857142857143,0.7075900664568031,1.322140608604407,0.37549068353060466,0.5443701884050588,-0.046708078655531005,29.136832646219137,0.12587312497115732,-0.042754090642066034,0.08506976128497579,AAPL,full_hysteresis,long_cash_hysteresis,5,200,0.0,,False,0.01,-0.01,20,10,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6687159463986264,0.6437854685340871,0.5647783159784712,252.875,202.5,1.3198626836906768,0.0,0.6777173993356791,1188,0.27176998964062327,1.0765184965786911
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_0_10bps,7.737173493147251,0.21012999773119367,0.22570862427207697,0.9597356400731557,1.0954427398306679,0.6223926883828836,-0.33761643035550226,15,0.7142857142857143,0.7096887023434767,1.322140608604407,0.3910440477496376,0.5661448983117049,-0.046708078655531005,30.302300726550225,0.13225267834110532,-0.03794844162510547,0.047542699880389616,AAPL,full_hysteresis,long_cash_hysteresis,5,200,0.0,,False,0.01,-0.01,20,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6754383630263745,0.6486287588498094,0.5138300669747508,253.625,202.5,1.3198626836906768,0.0,0.6777173993356791,1188,0.2820182407374766,1.0702468032159989
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_5_10bps,7.737173493147251,0.21012999773119367,0.22570862427207697,0.9597356400731557,1.0954427398306679,0.6223926883828836,-0.33761643035550226,15,0.7142857142857143,0.7096887023434767,1.322140608604407,0.3910440477496376,0.5661448983117049,-0.046708078655531005,30.302300726550225,0.13225267834110532,-0.03794844162510547,0.047542699880389616,AAPL,full_hysteresis,long_cash_hysteresis,5,200,0.0,,False,0.01,-0.01,20,5,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6754383630263745,0.6486287588498094,0.5138300669747508,253.625,202.5,1.3198626836906768,0.0,0.6777173993356791,1188,0.2820182407374766,1.0702468032159989
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_0_10bps,7.737173493147251,0.21012999773119367,0.22570862427207697,0.9597356400731557,1.0954427398306679,0.6223926883828836,-0.33761643035550226,15,0.7142857142857143,0.7096887023434767,1.322140608604407,0.3910440477496376,0.5661448983117049,-0.046708078655531005,30.302300726550225,0.13225267834110532,-0.03794844162510547,0.047542699880389616,AAPL,full_hysteresis,long_cash_hysteresis,5,200,0.0,,False,0.01,-0.01,10,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6754383630263745,0.6486287588498094,0.5138300669747508,253.625,202.5,1.3198626836906768,0.0,0.6777173993356791,1188,0.2820182407374766,1.0702468032159989
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_5_10bps,7.737173493147251,0.21012999773119367,0.22570862427207697,0.9597356400731557,1.0954427398306679,0.6223926883828836,-0.33761643035550226,15,0.7142857142857143,0.7096887023434767,1.322140608604407,0.3910440477496376,0.5661448983117049,-0.046708078655531005,30.302300726550225,0.13225267834110532,-0.03794844162510547,0.047542699880389616,AAPL,full_hysteresis,long_cash_hysteresis,5,200,0.0,,False,0.01,-0.01,10,5,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6754383630263745,0.6486287588498094,0.5138300669747508,253.625,202.5,1.3198626836906768,0.0,0.6777173993356791,1188,0.2820182407374766,1.0702468032159989
AAPL_long_cash_hysteresis_trend_5_200_entry_0.005_exit_-0.010_hold_0_cool_10_10bps,6.932315281618632,0.19988317513008202,0.22364813909207948,0.9284518961049762,1.0564466284221494,0.6660788278800229,-0.3000893689509162,17,0.625,0.7096887023434767,1.4984260230849946,0.32231147250747694,0.5443701884050588,-0.0477863873218262,18.986236419830117,0.1358167167312585,-0.048195264226217116,0.08506976128497568,AAPL,full_hysteresis,long_cash_hysteresis,5,200,0.0,,False,0.005,-0.01,0,10,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6691750098978854,0.6474240164981403,0.6136430526019964,225.44444444444446,195.0,1.4958443748494339,0.0,0.6777173993356791,1188,0.25073449676929715,1.048249286761822
AAPL_long_cash_hysteresis_trend_5_200_entry_0.020_exit_-0.010_hold_20_cool_0_10bps,6.727026634539767,0.19711800502018884,0.22319609878864202,0.9195159135271592,1.0417321866484013,0.6568643391443513,-0.300089368950916,15,0.7142857142857143,0.7037425673312347,1.322140608604407,0.3630328144926188,0.528188305270521,-0.049855912452136164,26.485740571772936,0.11665016760338354,-0.050960434336110305,0.0850697612849759,AAPL,full_hysteresis,long_cash_hysteresis,5,200,0.0,,False,0.02,-0.01,20,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6642722343933476,0.6432971576478216,0.6430324328767923,251.5,200.5,1.3198626836906768,0.0,0.6777173993356791,1188,0.24179851419148013,1.04583354629779
AAPL_long_cash_hysteresis_trend_5_200_entry_0.020_exit_-0.010_hold_0_cool_5_10bps,6.727026634539767,0.19711800502018884,0.22319609878864202,0.9195159135271592,1.0417321866484013,0.6568643391443513,-0.300089368950916,15,0.7142857142857143,0.7037425673312347,1.322140608604407,0.3630328144926188,0.528188305270521,-0.049855912452136164,26.485740571772936,0.11665016760338354,-0.050960434336110305,0.0850697612849759,AAPL,full_hysteresis,long_cash_hysteresis,5,200,0.0,,False,0.02,-0.01,0,5,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6642722343933476,0.6432971576478216,0.6430324328767923,251.5,200.5,1.3198626836906768,0.0,0.6777173993356791,1188,0.24179851419148013,1.04583354629779
