name,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,trades,win_rate,exposure,turnover,average_trade_return,average_win,average_loss,profit_factor,cost_drag,excess_cagr_vs_benchmark,drawdown_improvement_vs_benchmark,ticker,label,variant,short_window,long_window,spread_threshold,momentum_window,partial_exposure,entry_threshold,exit_threshold,min_hold_days,cooldown_days,cost_bps,benchmark_total_return,benchmark_cagr,benchmark_sharpe,benchmark_max_drawdown,upside_capture,downside_capture,missed_return_while_in_cash,average_holding_days,median_holding_days,trade_frequency_per_year,fallback_exposure,neighbor_sharpe,stable_neighbor_count,hot_pixel_risk
AAPL_long_cash_sma_5_50_10bps,4.6747464070231155,0.16503879257453336,0.18674984761738886,0.9128427638590377,1.0581843355682914,0.659007642522552,-0.2504353241531422,89,0.4318181818181818,0.621196222455404,7.844700944386149,0.04524010208286751,0.1522366246527695,-0.036077255070257996,3.207002154426307,0.5276893310301931,-0.08303964678176579,0.1347238060827497,AAPL,full,long_cash,5,50,0.0,,False,0.0,0.0,0,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.5428916490982328,0.5237946146911283,0.9633828983017408,39.46666666666667,24.0,7.831185256564683,0.0,0.6633517496183213,11,0.2494910142407164
AAPL_long_cash_sma_10_200_10bps,6.7790211353939185,0.19782463249252502,0.22636253715447635,0.9123121596788027,1.0432208629877642,0.6294681096958262,-0.31427268426373267,17,0.625,0.7072402938090241,1.4984260230849946,0.31637242099251206,0.535962345677943,-0.04961078681653933,18.005571639756873,0.1329725162712032,-0.05025380686377412,0.0708864459721592,AAPL,full,long_cash,10,200,0.0,,False,0.0,0.0,0,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6725970387518058,0.652250673276652,0.6264999717289264,224.66666666666666,195.0,1.4958443748494339,0.0,0.6806804561937622,11,0.23163170348504059
AAPL_long_cash_sma_10_50_10bps,4.032211769053288,0.15278511410594464,0.18849553414337702,0.8499348692828936,0.971316346803115,0.5846687124387935,-0.26131912116289113,73,0.4166666666666667,0.6180482686253935,6.434417628541448,0.051233732801227956,0.17308525625195958,-0.03580306966358032,3.45312083729006,0.38104120414018894,-0.0952933252503545,0.12384000907300075,AAPL,full,long_cash,10,50,0.0,,False,0.0,0.0,0,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.5394224525883163,0.5267829440416997,1.0958340511891662,47.75675675675676,38.0,6.423331727294627,0.0,0.6690706491252435,11,0.18086422015765014
AAPL_long_cash_sma_30_200_10bps,5.9355702604964495,0.1857893127823398,0.23377147514565016,0.8473782392165685,0.9718499241786522,0.49244656909471807,-0.3772781138954483,13,0.6666666666666666,0.7075900664568031,1.1458551941238195,0.44220169860495834,0.6982739176970476,-0.06994273957922009,19.96701650229623,0.09075717707389419,-0.06228912657395935,0.00788101634044358,AAPL,full,long_cash,30,200,0.0,,False,0.0,0.0,0,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6912613772592324,0.6801226287717667,0.7260318020689793,289.0,208.0,1.14388099253192,0.0,0.6780304663851637,14,0.16934777283140479
AAPL_long_cash_sma_5_200_10bps,5.064249816851754,0.17186401265243867,0.2227792675419922,0.8249230806111533,0.9305113457629197,0.5070739650899942,-0.3389328273281328,33,0.5,0.7054914305701294,2.908709338929696,0.13789583972568872,0.3146767217185853,-0.03888504226720782,8.092487583174254,0.2037037356640301,-0.07621442670386047,0.04622630290775909,AAPL,full,long_cash,5,200,0.0,,False,0.0,0.0,0,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6564932968316038,0.6489212963917984,0.8684627252752882,118.6470588235294,51.0,2.9036979041194892,0.0,0.6886249179271848,11,0.13629816268396844
AAPL_long_cash_sma_20_200_10bps,4.833598877186468,0.16787242923789436,0.2308076877698138,0.789148108115903,0.9031451871818306,0.4673570400133263,-0.3591952508795152,15,0.7142857142857143,0.7065407485134663,1.322140608604407,0.2924109750218344,0.4592889110779188,-0.12478386511837647,9.201688668687522,0.08839012279470726,-0.08020601011840478,0.025963879356376673,AAPL,full,long_cash,20,200,0.0,,False,0.0,0.0,0,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6756677850484014,0.6727098941055341,0.9050043560698409,252.5,204.0,1.3198626836906768,0.0,0.6918771881540258,11,0.0972709199618772
AAPL_long_cash_sma_30_50_10bps,3.2914431531843267,0.1367456603509476,0.19909712460253684,0.7444471084207843,0.8325209960203965,0.4461156375288878,-0.30652514471002545,63,0.5483870967741935,0.6239944036376356,5.552990556138511,0.055947751168184644,0.1400766818404035,-0.04620880750522396,3.680967392290266,0.2786159421852519,-0.11133277900535155,0.07863398552586642,AAPL,full,long_cash,30,50,0.0,,False,0.0,0.0,0,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.5574053621321735,0.5563766152403409,1.2418821582051862,55.75,45.0,5.543423271500843,0.0,0.6701903517343981,13,0.0742567566863862
AAPL_long_cash_sma_5_100_10bps,2.8981966139367237,0.12717305929143952,0.20242322944810553,0.6937208350890456,0.7920056344959493,0.37459792858636803,-0.33949215835591107,61,0.36666666666666664,0.664568030779993,5.376705141657922,0.055946038600960465,0.23590647992034244,-0.04824158532078699,2.8311141691379245,0.24490544695239658,-0.12090538006485962,0.04566697187998081,AAPL,full,long_cash,5,100,0.0,,False,0.0,0.0,0,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.5804624105135587,0.5890058557493784,1.3322850127924324,61.29032258064516,24.0,5.367441580342086,0.0,0.7259835174795969,15,-0.0322626823905513
AAPL_long_cash_sma_50_200_10bps,3.6294019672200326,0.14435322529875583,0.23494009149520834,0.6927979194912854,0.7633922168875539,0.3157123039934972,-0.4572302804572643,11,0.6,0.6942987058412032,0.9695697796432319,0.44188172342373716,0.811320537156782,-0.1122764971758301,10.839141194700131,0.051302750953336584,-0.10372521405754331,-0.07207115022137245,AAPL,full,long_cash,50,200,0.0,,False,0.0,0.0,0,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6747986946277985,0.6850627725704267,1.1288233763361566,330.8333333333333,224.5,0.967899301373163,0.0,0.6499284902838706,5,0.04286942920741488
AAPL_long_cash_sma_20_50_10bps,2.600785168570426,0.1193292714217582,0.19503123654177698,0.6764516779100977,0.7737805539883226,0.40043139417087237,-0.2980017879687973,67,0.48484848484848486,0.6183980412731724,5.905561385099685,0.04578494215688953,0.14785834704095102,-0.05028414479281541,2.767488594832302,0.24946504256656077,-0.12874916793454094,0.0871573422670946,AAPL,full,long_cash,20,50,0.0,,False,0.0,0.0,0,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.5453258514842673,0.5533492330965691,1.422674207504064,52.0,42.0,5.895386653818357,0.0,0.6848418483409523,11,-0.008390170430854549
