name,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,trades,win_rate,exposure,turnover,average_trade_return,average_win,average_loss,profit_factor,cost_drag,excess_cagr_vs_benchmark,drawdown_improvement_vs_benchmark
strategy,2.4979289471512667,0.11647856165358439,0.2168155870485183,0.6177120312933229,0.6834757401515965,0.3268184912608761,-0.3564013810975212,41,0.5,0.6621196222455404,3.613850996852046,0.07406251058584867,0.22679453757630869,-0.07866951640461137,2.882876976259316,0.14630612550949662,-0.13159990367727437,0.028757749138370703
buy_hold,11.409995420962424,0.24807846533085876,0.28704715622498117,0.9170379866785477,1.268089838145812,0.6440934301075047,-0.3851591302358919,1,,1.0,0.0,,,,,,,
